WaveEngine Version, 1.230, 2007.09.06.00
Framework Version, 3.5.1, 2008.11.17.05
Firmware Version, 3.5.1, 2008.11.17.05
, 
TestID, 
AP Model, generic unspecified
WLAN Switch Model, Unspecified
WLAN Switch Version, Unspecified
AP SW Version, Unspecified

Frame Size, ILOAD, Trial, Theoretical Rate pkts/sec, Theoretical Rate bits/sec, OLOAD, Forwarding Rate pkts/sec, Forwarding Rate bits/sec, Frame Loss Rate, USC:LT, Min Latency, Max Latency, Avg Latency, Avg Jitter
1023, 128.0, 1, 3110, 25455676, 127.978473469, 127.978473469, 1047375.82687, 0.0, PASS, 301.0us, 496.0us, 306.0us, 3.733us
